file_id,sample_name,species,sample_source,gene_marking_percent,integration_vector,payload_vector
251,Mouse BM (25.00%),Mmusculus,bm,25,unknown,hdad_hmga2_gfp
253,Mouse BM (65.10%),Mmusculus,bm,65.10,unknown,hdad_hmga2_gfp
254,Mouse BM (62.20%),Mmusculus,bm,62.20,unknown,hdad_hmga2_gfp
256,Mouse BM (37.00%),Mmusculus,bm,37,unknown,hdad_hmga2_gfp
257,Mouse BM (38.90%),Mmusculus,bm,38.90,unknown,hdad_hmga2_gfp
Neg-Ctrl,Mouse BM (0.00%),Mmusculus,bm,0.00,none,none
251-2,Mouse BM (25.00%),Mmusculus,bm,25,unknown,hdad_hmga2_gfp
253-2,Mouse BM (65.10%),Mmusculus,bm,65.10,unknown,hdad_hmga2_gfp
254-2,Mouse BM (62.20%),Mmusculus,bm,62.20,unknown,hdad_hmga2_gfp
256-2,Mouse BM (37.00%),Mmusculus,bm,37,unknown,hdad_hmga2_gfp
257-2,Mouse BM (38.90%),Mmusculus,bm,38.90,unknown,hdad_hmga2_gfp
Neg-Ctrl-2,Mouse BM (0.00%),Mmusculus,bm,0.00,none,none
251-3,Mouse BM (25.00%),Mmusculus,bm,25,unknown,hdad_hmga2_gfp
253-3,Mouse BM (65.10%),Mmusculus,bm,65.10,unknown,hdad_hmga2_gfp
254-3,Mouse BM (62.20%),Mmusculus,bm,62.20,unknown,hdad_hmga2_gfp
256-3,Mouse BM (37.00%),Mmusculus,bm,37,unknown,hdad_hmga2_gfp
257-3,Mouse BM (38.90%),Mmusculus,bm,38.90,unknown,hdad_hmga2_gfp
Neg-Ctrl-3,Mouse BM (0.00%),Mmusculus,bm,0.00,none,none
